datetime,symbol,open,high,low,close,volume
2021-12-20,BITKUB:KUBTHB,363.49,370.3,350.0,355.0,1230379.0502106
2021-12-21,BITKUB:KUBTHB,355.0,370.0,352.5,367.06,973969.4002029
2021-12-22,BITKUB:KUBTHB,367.5,369.8,360.0,365.78,812165.69768042
2021-12-23,BITKUB:KUBTHB,365.0,437.88,360.1,415.0,4098618.70783177
2021-12-24,BITKUB:KUBTHB,414.1,449.0,410.0,434.0,2995669.89911631
2021-12-25,BITKUB:KUBTHB,433.02,444.0,430.0,439.0,901491.77561503
2021-12-26,BITKUB:KUBTHB,439.0,442.0,430.0,437.0,697135.05818066
2021-12-27,BITKUB:KUBTHB,437.21,500.0,435.54,494.98,4283853.92579897
2021-12-28,BITKUB:KUBTHB,494.98,580.0,420.0,500.0,9241131.13375115
2021-12-29,BITKUB:KUBTHB,500.0,515.0,480.0,483.01,1710558.99960585
2021-12-30,BITKUB:KUBTHB,483.01,500.0,480.5,486.2,1416765.18193152
2021-12-31,BITKUB:KUBTHB,486.0,495.0,485.0,491.0,619775.07739396
2022-01-01,BITKUB:KUBTHB,491.0,493.0,480.0,482.0,670893.65010605
2022-01-02,BITKUB:KUBTHB,482.0,485.5,420.0,431.0,3345581.224608
2022-01-03,BITKUB:KUBTHB,430.99,457.98,422.0,448.0,1326900.02564244
2022-01-04,BITKUB:KUBTHB,447.2,453.5,433.0,436.99,789670.00844478
2022-01-05,BITKUB:KUBTHB,436.99,444.5,420.06,423.0,785901.15783322
2022-01-06,BITKUB:KUBTHB,423.9,423.9,351.0,374.99,3467706.25599399
2022-01-07,BITKUB:KUBTHB,374.99,399.49,370.0,374.01,1190421.74826184
2022-01-08,BITKUB:KUBTHB,377.0,381.4,344.0,345.0,1209236.43352625
2022-01-09,BITKUB:KUBTHB,344.0,352.0,290.0,324.99,2491568.600485
2022-01-10,BITKUB:KUBTHB,325.0,398.9,320.0,371.0,4027893.31971501
2022-01-11,BITKUB:KUBTHB,371.0,385.0,355.0,375.0,1088810.82768599
2022-01-12,BITKUB:KUBTHB,375.49,444.0,372.0,431.05,3453980.73327289
